model,entity_type,layer,depth,raw_pairwise_cos,cent_within,cent_between,cent_gap,n_templates,n_points,tsne_verdict,diffvec_cumvar_k1,diffvec_cumvar_k2,diffvec_cumvar_k3,diffvec_cumvar_k5,diffvec_cumvar_k10
meta-llama-Llama-3.1-8B,pkah,8,0.2581,0.9859529211654426,0.6431007914637265,-0.0388156888934672,0.6819164803571937,11,1012,,0.5782317519187927,0.6629157066345215,0.7209767699241638,0.8038973808288574,0.8945396542549133
meta-llama-Llama-3.1-8B,pkah,16,0.5161,0.9306783576758922,0.7511123724673924,-0.04295901688889196,0.7940713893562843,11,1012,clustered,0.4834338426589966,0.6028034090995789,0.6759496331214905,0.7700576186180115,0.8983536958694458
meta-llama-Llama-3.1-8B,pkah,24,0.7742,0.7475058464871829,0.5971456912525913,-0.03723505807817596,0.6343807493307673,11,1012,,0.4517843425273895,0.5504985451698303,0.6246155500411987,0.7316763401031494,0.878021776676178
meta-llama-Llama-3.1-8B,pkah,31,1.0,0.9568872082278994,0.6453339567963492,-0.03942888976144409,0.6847628465577933,11,1012,,0.7139270305633545,0.7901723384857178,0.8359768390655518,0.8802439570426941,0.9393063187599182
meta-llama-Llama-3.1-8B,pkah question,0,0.0,0.9707196735333325,0.710737632685586,-0.000724340827327872,0.7114619735129138,11,1012,,0.4989766776561737,0.7121855616569519,0.8191438317298889,0.891375720500946,0.9569612741470337
meta-llama-Llama-3.1-8B,pkah question,8,0.2581,0.9796685340497918,0.6313236478650779,-0.03510603016431496,0.6664296780293928,11,1012,,0.5157623291015625,0.6172902584075928,0.7004446387290955,0.7970640659332275,0.8985563516616821
meta-llama-Llama-3.1-8B,pkah question,16,0.5161,0.9818790642428045,0.6594503814673149,-0.030993900576184077,0.6904442820434991,11,1012,,0.5896265506744385,0.732638418674469,0.8039430975914001,0.8653718829154968,0.9376600384712219
meta-llama-Llama-3.1-8B,pkah question,24,0.7742,0.9849132677612268,0.639534509495685,-0.028475339804657385,0.6680098493003424,11,1012,,0.6196516156196594,0.7568957805633545,0.8188736438751221,0.8738782405853271,0.9446319937705994
meta-llama-Llama-3.1-8B,pkah question,31,1.0,0.981634752236652,0.6086289330565354,-0.02992426534895229,0.6385531984054877,11,1012,,0.5504472851753235,0.6484445333480835,0.7232885956764221,0.7930870056152344,0.9034032821655273
meta-llama-Llama-3.1-8B,tpsa,0,0.0,0.9907925963344838,0.7388020449301653,-0.007913834718542085,0.7467158796487074,11,1012,,0.6172552704811096,0.7275263071060181,0.8302343487739563,0.9102486371994019,0.962762713432312
meta-llama-Llama-3.1-8B,tpsa,8,0.2581,0.9856463300942577,0.5293016812290278,-0.032801142825014215,0.562102824054042,11,1012,,0.5468616485595703,0.6320418119430542,0.7018951773643494,0.7869758605957031,0.8796495199203491
meta-llama-Llama-3.1-8B,tpsa,16,0.5161,0.9693677408724838,0.6261824203426378,-0.039392421436388214,0.665574841779026,11,1012,mixed,0.6118150949478149,0.6840069890022278,0.7395442128181458,0.8143283128738403,0.9028746485710144
meta-llama-Llama-3.1-8B,tpsa,24,0.7742,0.941374485195395,0.5329860767120855,-0.03524700003640247,0.568233076748488,11,1012,,0.7056954503059387,0.7596694827079773,0.804643988609314,0.862653374671936,0.936316192150116
meta-llama-Llama-3.1-8B,tpsa,31,1.0,0.9974740174075262,0.5814654470110933,-0.03429195938392376,0.615757406395017,11,1012,,0.9323508739471436,0.958626925945282,0.968856692314148,0.9818801879882812,0.992979109287262
meta-llama-Llama-3.1-8B,tpsa question,0,0.0,0.9690944626322217,0.7070803316800218,-0.0026085977427032026,0.709688929422725,11,1012,,0.505087673664093,0.7087829113006592,0.8185290098190308,0.891785740852356,0.9566287994384766
meta-llama-Llama-3.1-8B,tpsa question,8,0.2581,0.9752916436103104,0.5782209239704045,-0.03231766506715965,0.6105385890375641,11,1012,,0.46517351269721985,0.5743358731269836,0.6597407460212708,0.7966424226760864,0.8919999599456787
meta-llama-Llama-3.1-8B,tpsa question,16,0.5161,0.9844082789562333,0.6588190720955792,-0.03766093601097432,0.6964800081065535,11,1012,,0.6751610040664673,0.7660005688667297,0.8229345083236694,0.8871201276779175,0.9449836611747742
meta-llama-Llama-3.1-8B,tpsa question,24,0.7742,0.9796094643944369,0.6745983911841585,-0.0375321656672108,0.7121305568513694,11,1012,,0.7053154706954956,0.7951285243034363,0.8506594896316528,0.9040514230728149,0.9535362720489502
meta-llama-Llama-3.1-8B,tpsa question,31,1.0,0.9779749416131696,0.5878242300986721,-0.03144875088981291,0.619272980988485,11,1012,,0.6269780397415161,0.7202736735343933,0.7770586013793945,0.8401098251342773,0.9230048656463623
meta-llama-Llama-3.1-8B,water_solubility,0,0.0,0.990619122939308,0.7473795936818708,-0.007993952428643102,0.7553735461105139,10,920,,0.6133759617805481,0.7215366363525391,0.8257386684417725,0.9074677228927612,0.9620049595832825
meta-llama-Llama-3.1-8B,water_solubility,8,0.2581,0.9846302773527591,0.5859434118600595,-0.03380350530951034,0.6197469171695699,10,920,,0.5647962689399719,0.6547650098800659,0.7269162535667419,0.8125455379486084,0.8985817432403564
meta-llama-Llama-3.1-8B,water_solubility,16,0.5161,0.9595901463456662,0.5659266897853006,-0.0356442222096792,0.6015709119949798,10,920,,0.6210314035415649,0.7031925916671753,0.7686423659324646,0.8353458642959595,0.9184355139732361
meta-llama-Llama-3.1-8B,water_solubility,24,0.7742,0.9591380522203286,0.37883226856897717,-0.027259533794676827,0.406091802363654,10,920,,0.694318413734436,0.7831248044967651,0.839512288570404,0.8897425532341003,0.9498102068901062
meta-llama-Llama-3.1-8B,water_solubility,31,1.0,0.9926849278433153,0.4563652820128992,-0.031377358297041816,0.487742640309941,10,920,,0.49025365710258484,0.7602821588516235,0.8215075135231018,0.8942878842353821,0.9554430246353149
meta-llama-Llama-3.1-8B,water_solubility question,0,0.0,0.9680519637113773,0.7088704984961894,-0.0012127621959085945,0.710083260692098,10,920,,0.49247094988822937,0.7144432663917542,0.8169056177139282,0.8900502920150757,0.9565383195877075
meta-llama-Llama-3.1-8B,water_solubility question,8,0.2581,0.9739129001223978,0.605189404335984,-0.03218328006357153,0.6373726843995555,10,920,,0.4713505506515503,0.5810862183570862,0.666718602180481,0.7921976447105408,0.8916717171669006
meta-llama-Llama-3.1-8B,water_solubility question,16,0.5161,0.9818260533867758,0.5950051727541313,-0.032507728782409644,0.6275129015365409,10,920,,0.5848416090011597,0.7155269980430603,0.781207799911499,0.8588716983795166,0.9304628372192383
meta-llama-Llama-3.1-8B,water_solubility question,24,0.7742,0.9809892508497207,0.5789076900681513,-0.030064464373691403,0.6089721544418427,10,920,,0.591097354888916,0.7186321020126343,0.7961756587028503,0.8714665174484253,0.939910352230072
meta-llama-Llama-3.1-8B,water_solubility question,31,1.0,0.9778965567779268,0.4920981480543943,-0.025605516797973307,0.5177036648523676,10,920,,0.4819643795490265,0.6288353800773621,0.7075272798538208,0.8018451929092407,0.9004628658294678
meta-llama-Llama-3.1-70B,avg_carbon_oxidation_state,0,0.0,0.9970708130451691,0.7702973282389474,-0.03384769339904699,0.8041450216379944,11,1012,,0.5660285353660583,0.6912556290626526,0.7806314826011658,0.8787661194801331,0.944932222366333
