model,layer,depth,group,within_score
meta-llama-Llama-3.1-70B,60,0.7595,ether,0.8656687537829081
meta-llama-Llama-3.1-70B,60,0.7595,imine,0.9351297418276469
meta-llama-Llama-3.1-70B,60,0.7595,ketone,0.8775569101174673
meta-llama-Llama-3.1-70B,60,0.7595,nitrile,0.9059910277525584
meta-llama-Llama-3.1-70B,60,0.7595,nitro,0.9490863780180613
meta-llama-Llama-3.1-70B,60,0.7595,sulfone,0.9419587055842081
meta-llama-Llama-3.1-70B,60,0.7595,sulfoxide,0.9404244323571523
meta-llama-Llama-3.1-70B,60,0.7595,thioether,0.9122901558876038
meta-llama-Llama-3.1-70B,60,0.7595,thiol,0.945334662993749
meta-llama-Llama-3.1-70B,79,1.0,alcohol,0.8906891445318857
meta-llama-Llama-3.1-70B,79,1.0,aldehyde,0.8697733084360758
meta-llama-Llama-3.1-70B,79,1.0,alkyl bromide,0.8084507683912913
meta-llama-Llama-3.1-70B,79,1.0,alkyl chloride,0.8137155771255493
meta-llama-Llama-3.1-70B,79,1.0,alkyl fluoride,0.8416822055975596
meta-llama-Llama-3.1-70B,79,1.0,alkyl iodide,0.8614245156447092
meta-llama-Llama-3.1-70B,79,1.0,amide,0.8949098289012909
meta-llama-Llama-3.1-70B,79,1.0,amine,0.9073122640450796
meta-llama-Llama-3.1-70B,79,1.0,carboxylic acid,0.8980073730150858
meta-llama-Llama-3.1-70B,79,1.0,ester,0.8102511068185171
meta-llama-Llama-3.1-70B,79,1.0,ether,0.8037083248297373
meta-llama-Llama-3.1-70B,79,1.0,imine,0.9051724076271057
meta-llama-Llama-3.1-70B,79,1.0,ketone,0.885660449663798
meta-llama-Llama-3.1-70B,79,1.0,nitrile,0.9102545777956644
meta-llama-Llama-3.1-70B,79,1.0,nitro,0.9302443365255991
meta-llama-Llama-3.1-70B,79,1.0,sulfone,0.9116653203964233
meta-llama-Llama-3.1-70B,79,1.0,sulfoxide,0.9138935407002767
meta-llama-Llama-3.1-70B,79,1.0,thioether,0.8430517117182413
meta-llama-Llama-3.1-70B,79,1.0,thiol,0.8980231781800588
